Issuer,Reference,Type,Link,Origin,Source,CoE MS,Year,Comments,Update,fundamental rights,human agency,human rights,non discrimination,non maleficence,rule of law,sustainable development,well being,accountability,autonomy,beneficence,democracy,dignity,diversity,explainability,fairness,freedom,inclusive,justice,liability,literacy,oversight,privacy,responsibility,robustness,safe,solidarity,sustainability,transparency,trust,trustworthy
Council of Europe (Eurimages),"Study on the impact of predictive technologies and AI on the audiovisual sector, including possible specific measures to put into place in order to ensure freedom of expression and cultural diversity",Report/Study,https://rm.coe.int/eurimages-entering-the-new-paradigm-051219/1680995331,International Organisation,Council of Europe,Yes,2019,,Data updated on 02 January 2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Council of Europe (French Presidency of the Committee of Ministers),French Presidency Statement on “Digital Challenges for Justice in Europe”,Policy paper,https://rm.coe.int/final-declaration-of-the-french-presidency-conference-of-mj-coe-15-oct/168098383f,International Organisation,Council of Europe,Yes,2019,,Data updated on 02 January 2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Council of Europe (MSI-AUT),Study on the implications of advanced digital technologies (including AI systems) for the concept of responsibility within a human rights framework,Report/Study,https://rm.coe.int/responsability-and-ai-en/168097d9c5,International Organisation,Council of Europe,Yes,2019,,Data updated on 02 January 2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Council of Europe (MSI-NET),Study on the Human Rights Dimensions of Automated Data Processing techniques,Report/Study,https://rm.coe.int/algorithms-and-human-rights-en-rev/16807956b5,International Organisation,Council of Europe,Yes,2018,,Data updated on 02 January 2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Council of Europe (Parliamentary Assembly),"Recommendation on Technological convergence, AI and human rights",Non binding instrument,https://assembly.coe.int/nw/xml/XRef/Xref-XML2HTML-en.asp?fileid=23726&lang=en,International Organisation,Council of Europe,Yes,2017,,Data updated on 02 January 2021,"0,00","0,00","0,01","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
Council of Europe (Parliamentary Assembly),Report “Democracy hacked how to respond”,Report/Study,http://assembly.coe.int/nw/xml/XRef/Xref-XML2HTML-EN.asp?fileid=28598&lang=en,International Organisation,Council of Europe,Yes,2020,,Data updated on 02 January 2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Council of Europe (Parliamentary Assembly),Report on “artificial intelligence and labour markets: friend or foe?” ,Report/Study,https://pace.coe.int/files/28738/pdf,International Organisation,Council of Europe,Yes,2020,,Data updated on 02 January 2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Council of Europe (Parliamentary Assembly),"Report on Artificial intelligence in health care: medical, legal and ethical challenges ahead",Report/Study,https://pace.coe.int/files/28737/pdf,International Organisation,Council of Europe,Yes,2020,,Data updated on 02 January 2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Council of Europe (Parliamentary Assembly),Report on Justice by algorithm (the role of artificial intelligence in policing and criminal justice systems),Report/Study,https://pace.coe.int/files/28723/pdf,International Organisation,Council of Europe,Yes,2020,,Data updated on 02 January 2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Council of Europe (Parliamentary Assembly),Report on preventing discrimination caused by the use of artificial intelligence,Report/Study,https://pace.coe.int/files/28715/pdf,International Organisation,Council of Europe,Yes,2020,,Data updated on 02 January 2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Council of Europe (Parliamentary Assembly),Report on ‘The brain-computer interface: new rights or new threats to fundamental freedoms?’,Report/Study,https://pace.coe.int/files/28722/pdf,International Organisation,Council of Europe,Yes,2020,,Data updated on 02 January 2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Council of Europe (Parliamentary Assembly),Report on the need for democratic governance of artificial intelligence ,Report/Study,https://pace.coe.int/files/28742/pdf,International Organisation,Council of Europe,Yes,2020,,Data updated on 02 January 2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Council of Europe (Parliamentary Assembly),Report on legal aspects of « autonomous vehicles » ,Report/Study,https://pace.coe.int/files/28721/pdf,International Organisation,Council of Europe,Yes,2020,,Data updated on 02 January 2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Council of Europe (Parliamentary Assembly) and The Rathenau Institute,Human Rights in the Robot Age Report,Report/Study,https://www.rathenau.nl/sites/default/files/2018-02/Human%20Rights%20in%20the%20Robot%20Age-Rathenau%20Instituut-2017.pdf,International Organisation,Council of Europe,Yes,2017,,Data updated on 02 January 2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Council of Europe and Croatian Presidency of the Committee of Ministers,Conclusions of the Expert Seminar on E-relevance of Culture in the age of AI,Policy paper,https://rm.coe.int/e-relevance-of-culture-in-the-age-of-ai-expert-seminar-on-culture-crea/168091e688,International Organisation,Council of Europe,Yes,2018,,Data updated on 02 January 2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Council of Europe and Finnish Presidency of the Committee of Ministers,"Conclusions from the Conference “Governing the Game Changer""",Policy paper,https://rm.coe.int/conclusions-helsinki-conference-26-27-02-2019/168093bfca,International Organisation,Council of Europe,Yes,2019,,Data updated on 02 January 2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Council of the European Union,Conclusions of the European Council Meeting,Policy paper,http://www.consilium.europa.eu/media/21620/19-euco-final-conclusions-en.pdf,International Organisation,EU - Council of the European Union,Yes,2017,,Data updated on 02 January 2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Council of the European Union,"Thematic Reviews on 'Social Aspects of Digitalisation' (SPC) and 'Digitalisation and Robotisation of Work' (EMCO) - Endorsement of the joint key messages, 14411/18",Report/Study,http://data.consilium.europa.eu/doc/document/ST-14411-2018-INIT/en/pdf,International Organisation,EU - Council of the European Union,Yes,2018,,Data updated on 02 January 2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Council of the European Union,"Gender Equality, Youth and Digitalisation - Presidency Conclusions",Policy paper,https://www.consilium.europa.eu/media/37363/gender-equality_text-adopted.pdf,International Organisation,EU - Council of the European Union,Yes,2018,,Data updated on 02 January 2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Council of the European Union,Discussion paper on Governance of the Artificial Intelligence Strategy for Europe,Policy paper,https://data.consilium.europa.eu/doc/document/ST-11352-2018-INIT/en/pdf,International Organisation,EU - Council of the European Union,Yes,2018,,Data updated on 02 January 2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Council of the European Union,"Presidency conclusions - The Charter of Fundamental Rights in the context of Artificial Intelligence and Digital Change",Policy paper,https://www.consilium.europa.eu/media/46496/st11481-en20.pdf,International Organisation,EU - Council of the European Union,Yes,2020,,Data updated on 02 January 2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ESMA (European Securities and Markets Authority), EBA (European Banking Authority), EIOPA (European Insurance and Occupational Pensions Authority) and the Joint Committtee of the European Supervisory Authorities, Joint Committee",Final Report on Big Data,Report/Study,https://eiopa.europa.eu/Publications/Other Documents/JC-2018-04 Joint Committee Final Report on Big Data.pdf,International Organisation,EU - European Union,Yes,2018,,Data updated on 02 January 2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
European Commission,Communication on Artificial Intelligence for Europe,Policy paper,https://ec.europa.eu/digital-single-market/en/news/communication-artificial-intelligence-europe,International Organisation,EU - European Commission,Yes,2018,,Data updated on 02 January 2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
European Commission,A multi-dimensional approach to disinformation,Policy paper,http://ec.europa.eu/newsroom/dae/document.cfm?doc_id=50271,International Organisation,EU - European Commission,Yes,2018,,Data updated on 02 January 2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
European Commission,Declaration on cooperation on AI,Policy paper,http://ec.europa.eu/newsroom/dae/document.cfm?doc_id=50951,International Organisation,EU - European Commission,Yes,2018,,Data updated on 02 January 2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
European Commission,Coordinated plan on AI,Policy paper,https://ec.europa.eu/newsroom/dae/document.cfm?doc_id=56018,International Organisation,EU - European Commission,Yes,2018,,Data updated on 02 January 2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
European Commission,Communication on the Digital Education Action Plan,Policy paper,https://eur-lex.europa.eu/legal-content/EN/TXT/PDF/?uri=CELEX:52018DC0022&from=EN,International Organisation,EU - European Commission,Yes,2018,,Data updated on 02 January 2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
European Commission,Communication on Building Trust in Human-Centric AI,Policy paper,https://ec.europa.eu/newsroom/dae/document.cfm?doc_id=58496,International Organisation,EU - European Commission,Yes,2019,,Data updated on 02 January 2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
European Commission,White Paper on AI - A European approach to excellence and trust,Policy paper,https://ec.europa.eu/info/sites/info/files/commission-white-paper-artificial-intelligence-feb2020_en.pdf,International Organisation,EU - European Commission,Yes,2020,,Data updated on 02 January 2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
European Commission (AI HLEG),Assessment List for Trustworthy Artificial Intelligence (ALTAI) for self-assessment,Policy paper,https://ec.europa.eu/digital-single-market/en/news/assessment-list-trustworthy-artificial-intelligence-altai-self-assessment,International Organisation,EU - European Commission,Yes,2020,,Data updated on 02 January 2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
European Commission,Study on the use of innovative technologies in the justice field,Report/Study,https://op.europa.eu/en/publication-detail/-/publication/4fb8e194-f634-11ea-991b-01aa75ed71a1,International Organisation,EU - European Commission,Yes,2020,,Data updated on 02 January 2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
European Commission (AI HLEG),Ethics Guidelines for Trustworthy AI,Principles/Guidelines/Charters,https://ec.europa.eu/futurium/en/ai-alliance-consultation/guidelines#Top,International Organisation,EU - European Commission,Yes,2019,,Data updated on 02 January 2021,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,01"
European Commission (AI HLEG),Policy and investment recommendations for trustworthy Artificial Intelligence,Policy paper,https://ec.europa.eu/digital-single-market/en/news/policy-and-investment-recommendations-trustworthy-artificial-intelligence,International Organisation,EU - European Commission,Yes,2019,,Data updated on 02 January 2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
European Commission (Expert group on liability and new technologies),Liability for Artificial Intelligence and other emerging digital technologies,Report/Study,https://ec.europa.eu/newsroom/dae/document.cfm?doc_id=63199,International Organisation,EU - European Commission,Yes,2020,,Data updated on 02 January 2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"European Commission (Joint Research Centre, AI Watch)",Defining Artificial Intelligence : towards an operational definition and taxonomy of artificial intelligence,Report/Study,https://op.europa.eu/en/publication-detail/-/publication/6cc0f1b6-59dd-11ea-8b81-01aa75ed71a1/language-en,International Organisation,EU - European Commission,Yes,2019,,Data updated on 02 January 2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"European Commission (Joint Research Centre, AI Watch)",Artificial Intelligence in public services - Overview of the use and impact of AI in public services in the EU,Report/Study,https://publications.jrc.ec.europa.eu/repository/bitstream/JRC120399/jrc120399_misuraca-ai-watch_public-services_30062020_def.pdf,International Organisation,EU - European Commission,Yes,2020,,Data updated on 02 January 2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
European Commission (Joint Research Centre),Artificial Intelligence A european perspecive,Report/Study,https://ec.europa.eu/jrc/en/publication/eur-scientific-and-technical-research-reports/artificial-intelligence-european-perspective,International Organisation,EU - European Commission,Yes,2018,,Data updated on 02 January 2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
European Commission (Joint Research Centre),"The impact of Artificial Intelligence on learning, teaching, and education",Report/Study,https://publications.europa.eu/en/publication-detail/-/publication/5cb8eee3-e888-11e8-b690-01aa75ed71a1?WT.mc_id=NEWSLETTER_December2018,International Organisation,EU - European Commission,Yes,2018,,Data updated on 02 January 2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
European Data Protection Supervisor (EDPS),Opinion 3/2018 on online manipulation and personal data,Non binding instrument,https://edps.europa.eu/sites/edp/files/publication/18-03-19_online_manipulation_en.pdf,International Organisation,EU - European Data Protection Supervisor,Yes,2018,,Data updated on 02 January 2021,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
European Data Protection Supervisor (EDPS),EDPS calls for closer alignment between consumer and data protection rules in the EU,Policy paper,https://edps.europa.eu/node/4907,International Organisation,EU - European Data Protection Supervisor,Yes,2018,,Data updated on 02 January 2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
European Economic and Social Committee (EESC),"Opinion on AI - The consequences of artificial intelligence on the (digital) single market, production, consumption, employment and society’",Non binding instrument,https://eur-lex.europa.eu/legal-content/EN/TXT/PDF/?uri=CELEX:52016IE5369&from=EN,International Organisation,EU - European Economic and Social Committee,Yes,2016,,Data updated on 02 January 2021,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
European Economic and Social Committee (EESC),Adopted Opinion on Building a European Data Economy,Non binding instrument,https://webapi2016.eesc.europa.eu/v1/documents/EESC-2017-00654-00-00-AC-TRA-en.docx/content,International Organisation,EU - European Economic and Social Committee,Yes,2017,,Data updated on 02 January 2021,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
European Economic and Social Committee (EESC),"Adopted Opinion Investing in a smart, innovative and sustainable industry",Non binding instrument,https://www.eesc.europa.eu/en/our-work/opinions-information-reports/opinions/investing-smart-innovative-and-sustainable-industry-referral,International Organisation,EU - European Economic and Social Committee,Yes,2018,,Data updated on 02 January 2021,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
European Group on Ethics in Science and New Technologies,"Statement on artificial Intelligence Robotics, and 'Autonomous' Systems",Non binding instrument,https://ec.europa.eu/research/ege/pdf/ege_ai_statement_2018.pdf,International Organisation,EU - European Commission,Yes,2018,,Data updated on 02 January 2021,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
European Parliament,"Resolution on Fundamental rights implications of big data: privacy, data protection, non-discrimination, security and law-enforcement",Non binding instrument,http://www.europarl.europa.eu/sides/getDoc.do?pubRef=-//EP//TEXT+TA+P8-TA-2017-0076+0+DOC+XML+V0//EN,International Organisation,EU - European Parliamant,Yes,2017,,Data updated on 02 January 2021,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
European Parliament,Resolution with recommendations to the Commission on Civil Law Rules on Robotics,Non binding instrument,http://www.europarl.europa.eu/sides/getDoc.do?pubRef=-//EP//TEXT+TA+P8-TA-2017-0051+0+DOC+XML+V0//EN,International Organisation,EU - European Parliamant,Yes,2017,,Data updated on 02 January 2021,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
European Parliament,Comprehensive European industrial policy on artificial intelligence and robotics,Policy paper,https://oeil.secure.europarl.europa.eu/oeil/popups/ficheprocedure.do?lang=&reference=2018/2088(INI),International Organisation,EU - European Parliamant,Yes,2018,,Data updated on 02 January 2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
European Parliament,"Study Requested by the Committee on Industry, Research Energy, European AI leadership",Report/Study,http://www.europarl.europa.eu/RegData/etudes/STUD/2018/626074/IPOL_STU(2018)626074_EN.pdf,International Organisation,EU - European Parliamant,Yes,2018,,Data updated on 02 January 2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
European Parliament,Comprehensive European industrial policy on artificial intelligence and robotics,Policy paper,https://oeil.secure.europarl.europa.eu/oeil/popups/ficheprocedure.do?lang=&reference=2018/2088(INI),International Organisation,EU - European Parliamant,Yes,2018,,Data updated on 02 January 2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
European Parliament,A governance framework for algorithmic accountability and transparency,Report/Study,http://www.europarl.europa.eu/RegData/etudes/STUD/2019/624262/EPRS_STU(2019)624262_EN.pdf,International Organisation,EU - European Parliamant,Yes,2019,,Data updated on 02 January 2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
European Parliament,European industrial policy on artificial intelligence and robotics,Policy paper,http://www.europarl.europa.eu/doceo/document/TA-8-2019-0081_EN.pdf,International Organisation,EU - European Parliamant,Yes,2019,,Data updated on 02 January 2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
European Parliament,Study on Understanding algorithmic decision-making,Report/Study,https://www.europarl.europa.eu/RegData/etudes/STUD/2019/624261/EPRS_STU(2019)624261_EN.pdf,International Organisation,EU - European Parliamant,Yes,2019,,Data updated on 02 January 2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
European Parliament,EU guidelines on ethics in artificial intelligence: Context and implementation,Report/Study,https://www.europarl.europa.eu/RegData/etudes/BRIE/2019/640163/EPRS_BRI(2019)640163_EN.pdf,International Organisation,EU - European Parliamant,Yes,2019,,Data updated on 02 January 2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
European Parliament,Report with recommendations to the Commission on Civil liability regime for artificial intelligence,Report/Study,https://www.europarl.europa.eu/doceo/document/A-9-2020-0178_EN.pdf,International Organisation,EU - European Parliamant,Yes,2020,Updated,Data updated on 02 January 2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
European Parliament,The ethics of artificial intelligence: Issues and initiatives,Meta-analysis,https://www.europarl.europa.eu/stoa/en/document/EPRS_STU(2020)634452,International Organisation,EU - European Parliamant,Yes,2020,,Data updated on 02 January 2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
European Parliament,"Report with recommendations to the Commission on a framework of ethical aspects of artificial intelligence, robotics and related technologies",Report/Study,https://www.europarl.europa.eu/doceo/document/A-9-2020-0186_EN.pdf,International Organisation,EU - European Parliamant,Yes,2020,Updated,Data updated on 02 January 2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
European Parliament,"European Artificial Intelligence (AI) leadership, the path for an integrated vision",Report/Study,https://www.europarl.europa.eu/RegData/etudes/STUD/2018/626074/IPOL_STU(2018)626074_EN.pdf,International Organisation,EU - European Parliamant,Yes,2018,,Data updated on 02 January 2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
European Parliament,Report on intellectual property rights for the development of artificial intelligence technologies ,Report/Study,https://www.europarl.europa.eu/doceo/document/A-9-2020-0176_EN.pdf,International Organisation,EU - European Parliamant,Yes,2020,New,Data updated on 02 January 2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fundamental Rights Agency (FRA),Data quality and artificial intelligence – mitigating bias and error to protect fundamental rights,Report/Study,https://fra.europa.eu/en/publication/2019/artificial-intelligence-data-quality,International Organisation,EU - Fundamental Rights Agency (FRA),Yes,2019,,Data updated on 02 January 2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fundamental Rights Agency (FRA),#BigData: Discrimination in data-supported decision making,Report/Study,http://fra.europa.eu/en/publication/2018/big-data-discrimination,International Organisation,EU - Fundamental Rights Agency (FRA),Yes,2018,,Data updated on 02 January 2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fundamental Rights Agency (FRA),Facial recognition technology: fundamental rights considerations in the context of law enforcement,Report/Study,https://fra.europa.eu/en/publication/2019/facial-recognition,International Organisation,EU - Fundamental Rights Agency (FRA),Yes,2019,,Data updated on 02 January 2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fundamental Rights Agency (FRA),Getting the future right – Artificial intelligence and fundamental rights,Report/Study,https://fra.europa.eu/en/publication/2020/artificial-intelligence-and-fundamental-rights,International Organisation,EU - Fundamental Rights Agency (FRA),Yes,2020,New,Data updated on 02 January 2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EUROCONTROL,The FLY AI Report: Demystifying and Accelerating AI in Aviation/ATM,Report/Study,https://www.eurocontrol.int/sites/default/files/2020-03/eurocontrol-fly-ai-report-032020.pdf,International Organisation,EUROCONTROL,No,2020,,Data updated on 02 January 2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G20,Ministerial Statement on Human-centered Artificial Intelligence Principles,Non binding instrument,https://www.mofa.go.jp/files/000486596.pdf,International Organisation,G20,No,2019,,Data updated on 02 January 2021,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
G7,Charlevoix Common Vision for the Future of Artificial Intelligence,Policy paper,Charlevoix Common Vision for the Future of Artificial Intelligence,International Organisation,G7,No,2018,,Data updated on 02 January 2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
International Conference of Data Protection and Privacy Commissioners (ICDPPC),Declaration on Ethics and Data Protection in Artificial Intelligence,Non binding instrument,http://globalprivacyassembly.org/wp-content/uploads/2018/10/20180922_ICDPPC-40th_AI-Declaration_ADOPTED.pdf,International Organisation,ICDPPC,No,2018,,Data updated on 02 January 2021,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,01","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
International Working Group on Data Protection on Telecommunications,Working Paper on Privacy and Artificial Intelligence,Policy paper,https://www.datenschutz-berlin.de/fileadmin/user_upload/pdf/publikationen/working-paper/2018/2018-IWGDPT-Working_Paper_Artificial_Intelligence.pdf,International Organisation,International Working Group on Data Protection on Telecommunications,Yes,2018,,Data updated on 02 January 2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nordic Council of Ministers for Digitalisation 2017-2020 (MR-DIGITAL),Declaration on AI in the Nordic-Baltic Region,Policy paper,https://www.norden.org/en/declaration/ai-nordic-baltic-region,International Organisation,Nordic Co-operation,Yes,2018,,Data updated on 02 January 2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OECD,Recommendation of the Council on Artificial Intelligence,Non binding instrument,https://legalinstruments.oecd.org/api/print?ids=648&lang=en,International Organisation,OECD,No,2019,,Data updated on 02 January 2021,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,01"
OECD,OECD Principles on AI,Principles/Guidelines/Charters,https://www.oecd.org/going-digital/ai/principles/,International Organisation,OECD,No,2019,,Data updated on 02 January 2021,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,01","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,01"
OECD,OECD AI Policy Observatory,Meta-analysis,https://oecd.ai,International Organisation,OECD,No,2020,,Data updated on 02 January 2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OHCHR,Report of the Special Rapporteur on the right to privacy,Report/Study,https://ohchr.org/EN/HRBodies/HRC/RegularSessions/Session37/Documents/A_HRC_37_62_EN.docx,International Organisation,UN - OHCHR,No,2018,,Data updated on 02 January 2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSCE,Non-paper on the impact of artificial intelligence and freedom of expression,Report/Study,https://www.osce.org/representative-on-freedom-of-media/447829,International Organisation,OSCE,No,2020,,Data updated on 02 January 2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UNESCO,Report on Big Data and Health,Report/Study,http://unesdoc.unesco.org/images/0024/002487/248724e.pdf,International Organisation,UN - UNESCO,No,2017,,Data updated on 02 January 2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UNESCO,COMEST Report on Robotics,Report/Study,https://unesdoc.unesco.org/ark:/48223/pf0000253952,International Organisation,UN - UNESCO,No,2018,,Data updated on 02 January 2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UNESCO,Preliminary study on the technical and legal aspects relating to the desirability of a standard-setting instrument on the ethics of artificial intelligence,Report/Study,https://unesdoc.unesco.org/ark:/48223/pf0000367422.locale=en,International Organisation,UN - UNESCO,No,2019,,Data updated on 02 January 2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UNESCO,Toward a draft text of a Recommendation on the Ethics of Artificial Intelligence (working document),Non binding instrument,https://unesdoc.unesco.org/ark:/48223/pf0000373199,International Organisation,UN - UNESCO,No,2020,,Data updated on 02 January 2021,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
UNESCO,First draft of the recommendation on the ethics of artificial intelligence,Non binding instrument,https://unesdoc.unesco.org/ark:/48223/pf0000373434,International Organisation,UN - UNESCO,No,2020,,Data updated on 02 January 2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UNICEF,Policy Guidance on AI for Children,Policy paper,https://www.unicef.org/globalinsight/reports/policy-guidance-ai-children,International Organisation,UN - UNICEF,No,2020,,Data updated on 02 January 2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UNICRI,Report on the Risks and Benefits of Artificial Intelligence and Robotics (link broken),Report/Study,http://unicri.it/in_focus/files/Report_UNICRI_Cambridge_Workshop_Feb_2017.pdf,International Organisation,UN - UNICRI,No,2017,,Data updated on 02 January 2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"UNICRI, Interpol",Towards Responsible Artificial Intelligence Innovation - Second Interpol-UNICRI Report on AI for law enforcement,Report/Study,http://www.unicri.it/sites/default/files/2020-07/UNICRI-INTERPOL_Report_Towards_Responsible_AI_Innovation_0.pdf,International Organisation,UN - UNICRI,No,2020,,Data updated on 02 January 2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"United Nations, Secretary General",Report of the Special Rapporteur to the General Assembly on AI and its impact on freedom of opinion and expression,Report/Study,https://freedex.org/wp-content/blogs.dir/2015/files/2018/10/AI-and-FOE-GA.pdf,International Organisation,UN - United Nations,No,2018,,Data updated on 02 January 2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
